architecture_id,parameter_count,epoch,validation_accuracy,validation_loss,rank,final_rank
a83ea7b58d95ed4f,8074,8,0.5396,1.306450486755371,6.0,6.0
705b59bb327205f7,157482,8,0.6112,1.1392201234817505,5.0,5.0
a73c7cf20a8bf855,68458,8,0.6856,0.902756534576416,4.0,4.0
0bdd44692f5e42bb,70922,8,0.7292,0.7879090689659118,3.0,3.0
52d58d4515c54422,69514,8,0.7504,0.7225935049057007,2.0,2.0
c88579b3ad9a3218,360490,8,0.8046,0.5827896363258361,1.0,1.0
a83ea7b58d95ed4f,8074,9,0.57,1.1934279376983643,6.0,6.0
705b59bb327205f7,157482,9,0.6144,1.1439602040290833,5.0,5.0
a73c7cf20a8bf855,68458,9,0.662,0.9525887563705444,4.0,4.0
0bdd44692f5e42bb,70922,9,0.7262,0.79233409948349,3.0,3.0
52d58d4515c54422,69514,9,0.7768,0.6440532296180725,2.0,2.0
c88579b3ad9a3218,360490,9,0.7952,0.6002713745117187,1.0,1.0
a83ea7b58d95ed4f,8074,10,0.5674,1.2121790887832642,6.0,6.0
705b59bb327205f7,157482,10,0.6408,1.0568921169281005,4.0,5.0
a73c7cf20a8bf855,68458,10,0.5984,1.2609646892547608,5.0,4.0
0bdd44692f5e42bb,70922,10,0.725,0.804098388671875,3.0,3.0
52d58d4515c54422,69514,10,0.7768,0.6579123583316803,2.0,2.0
c88579b3ad9a3218,360490,10,0.826,0.532910790014267,1.0,1.0
a83ea7b58d95ed4f,8074,11,0.587,1.1704803678512574,5.0,6.0
705b59bb327205f7,157482,11,0.5362,1.5020194423675537,6.0,5.0
a73c7cf20a8bf855,68458,11,0.6146,1.205649753475189,4.0,4.0
0bdd44692f5e42bb,70922,11,0.7042,0.8581951737880706,3.0,3.0
52d58d4515c54422,69514,11,0.7662,0.6681255279541015,2.0,2.0
c88579b3ad9a3218,360490,11,0.7712,0.7150305216252804,1.0,1.0
a83ea7b58d95ed4f,8074,12,0.5838,1.187497731590271,6.0,6.0
705b59bb327205f7,157482,12,0.6928,0.903990225982666,5.0,5.0
a73c7cf20a8bf855,68458,12,0.714,0.8296750829219818,4.0,4.0
0bdd44692f5e42bb,70922,12,0.758,0.696132170009613,3.0,3.0
52d58d4515c54422,69514,12,0.794,0.6031060996055603,2.0,2.0
c88579b3ad9a3218,360490,12,0.8294,0.5087268796443939,1.0,1.0
