architecture_id,parameter_count,epoch,validation_accuracy,validation_loss,rank,final_rank
a83ea7b58d95ed4f,8074,1,0.4082,1.6061731378555297,6.0,6.0
705b59bb327205f7,157482,1,0.4796,1.4188113275527954,5.0,5.0
a73c7cf20a8bf855,68458,1,0.4892,1.3976580160140992,4.0,4.0
0bdd44692f5e42bb,70922,1,0.548,1.2837716312408447,3.0,3.0
52d58d4515c54422,69514,1,0.5828,1.1541332635879518,2.0,2.0
c88579b3ad9a3218,360490,1,0.5856,1.2033457329750061,1.0,1.0
a83ea7b58d95ed4f,8074,2,0.4554,1.4986870428085328,6.0,6.0
705b59bb327205f7,157482,2,0.5522,1.3062461597442627,5.0,5.0
a73c7cf20a8bf855,68458,2,0.556,1.2570700729370117,4.0,4.0
0bdd44692f5e42bb,70922,2,0.5826,1.1485812952041625,3.0,3.0
52d58d4515c54422,69514,2,0.6262,1.100124633026123,2.0,2.0
c88579b3ad9a3218,360490,2,0.647,1.011376100063324,1.0,1.0
a83ea7b58d95ed4f,8074,3,0.5,1.389263501548767,6.0,6.0
705b59bb327205f7,157482,3,0.5154,1.3999923011779785,5.0,5.0
a73c7cf20a8bf855,68458,3,0.5946,1.1769800371170045,4.0,4.0
0bdd44692f5e42bb,70922,3,0.6568,0.9632475216865539,3.0,3.0
52d58d4515c54422,69514,3,0.7048,0.8451788177967071,2.0,2.0
c88579b3ad9a3218,360490,3,0.7204,0.8133651347160339,1.0,1.0
a83ea7b58d95ed4f,8074,4,0.5138,1.355968681716919,6.0,6.0
705b59bb327205f7,157482,4,0.5318,1.3573973917007447,5.0,5.0
a73c7cf20a8bf855,68458,4,0.6192,1.1062309467315674,4.0,4.0
0bdd44692f5e42bb,70922,4,0.651,0.9901202709197998,2.0,3.0
52d58d4515c54422,69514,4,0.6316,1.1056754717826842,3.0,2.0
c88579b3ad9a3218,360490,4,0.7428,0.7584866396427155,1.0,1.0
a83ea7b58d95ed4f,8074,5,0.4866,1.4341433633804321,6.0,6.0
705b59bb327205f7,157482,5,0.5242,1.4861066390037536,4.0,5.0
a73c7cf20a8bf855,68458,5,0.4902,1.724677108001709,5.0,4.0
0bdd44692f5e42bb,70922,5,0.6794,0.9064171398162841,3.0,3.0
52d58d4515c54422,69514,5,0.7026,0.8748312098503113,2.0,2.0
c88579b3ad9a3218,360490,5,0.7268,0.8170610691547394,1.0,1.0
a83ea7b58d95ed4f,8074,6,0.5216,1.3410701595306396,6.0,6.0
705b59bb327205f7,157482,6,0.6392,1.0216699419975281,5.0,5.0
a73c7cf20a8bf855,68458,6,0.6762,0.9262085884094239,4.0,4.0
0bdd44692f5e42bb,70922,6,0.691,0.8870019752502442,3.0,3.0
52d58d4515c54422,69514,6,0.7642,0.6919890681266785,2.0,2.0
c88579b3ad9a3218,360490,6,0.8046,0.5808234174251556,1.0,1.0
a83ea7b58d95ed4f,8074,7,0.5658,1.2314647514343262,6.0,6.0
705b59bb327205f7,157482,7,0.6316,1.067198441362381,5.0,5.0
a73c7cf20a8bf855,68458,7,0.6402,1.0343256141662598,4.0,4.0
0bdd44692f5e42bb,70922,7,0.6922,0.9068485052108765,3.0,3.0
52d58d4515c54422,69514,7,0.7512,0.7364387086868286,2.0,2.0
c88579b3ad9a3218,360490,7,0.7992,0.6039052870750428,1.0,1.0
